"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MG",25484000,1999-08-24,NA,NA,NA,NA,NA,9.16,238,1.4,6.98,0.94,2.36,7.91,50,25,2.5,NA,0.42,NA,17.4,0.13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",25412000,1999-09-07,NA,NA,NA,NA,NA,10.31,64,1.39,8.35,0.81,3.1,8.82,14,NA,1.03,NA,0.2,NA,23.31,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",25432000,1999-09-21,NA,NA,NA,NA,NA,8.36,184,1.31,6.54,0.72,2.19,6.94,16,10,2.5,NA,0.38,NA,15.61,0.18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",25443000,1999-09-28,NA,NA,NA,NA,NA,5.88,134,0.94,4.74,1.07,1.27,4.66,37,25,4.76,NA,0.39,NA,9.63,0.22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",25454000,1999-10-05,NA,NA,NA,NA,NA,11.07,218,1.55,8.72,1.42,3.62,8.27,125,51,2.13,NA,0.46,NA,21.79,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",25473000,1999-10-19,NA,NA,NA,NA,NA,9.96,221,1.55,8.45,1.1,3.29,12.14,14,28,1.77,NA,0.38,NA,23.32,0.14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",26165000,1999-10-26,NA,NA,NA,NA,NA,8.19,224,1.13,6.42,0.72,2.12,6.36,26,13,1.99,NA,0.47,NA,15.3,0.22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",26178000,1999-11-02,NA,NA,NA,NA,NA,8.46,326,1.3,6.97,2.33,2.35,7.73,152,94,5.67,NA,0.94,NA,12.41,0.47,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",26189000,1999-11-09,NA,NA,NA,NA,NA,8.66,182,1.05,7.21,0.89,2.49,7.59,26,16,1.62,NA,0.41,NA,18.06,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",26208000,1999-11-23,NA,NA,NA,NA,NA,10.71,243,1.22,8.12,0.92,2.97,10.02,26,15,1.11,NA,0.47,NA,20.2,0.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
